date,price,news
2024-12-03,213.44,
2024-12-04,218.16,
2024-12-05,220.55,
2024-12-06,227.03,
2024-12-09,226.09,
2024-12-10,225.04,
2024-12-11,230.26,
2024-12-12,228.97,
2024-12-13,227.46,
2024-12-16,232.93,
2024-12-17,231.15,
2024-12-18,220.52,
2024-12-19,223.29,
2024-12-20,224.92,
2024-12-23,225.06,
2024-12-24,229.05,
2024-12-26,227.05,
2024-12-27,223.75,
2024-12-30,221.3,
2024-12-31,219.39,
2025-01-02,220.22,
2025-01-03,224.19,
2025-01-06,227.61,
2025-01-07,222.11,
2025-01-08,222.13,
2025-01-10,218.94,
2025-01-13,218.46,
2025-01-14,217.76,
2025-01-15,223.35,
2025-01-16,220.66,
2025-01-17,225.94,
2025-01-21,230.71,
2025-01-22,235.01,
2025-01-23,235.42,
2025-01-24,234.85,
2025-01-27,235.42,
2025-01-28,238.15,
2025-01-29,237.07,
2025-01-30,234.64,
2025-01-31,237.68,
2025-02-03,237.42,
2025-02-04,242.06,
2025-02-05,236.17,
2025-02-06,238.83,
2025-02-07,229.15,
2025-02-10,233.14,
2025-02-11,232.76,
2025-02-12,228.93,
2025-02-13,230.37,
2025-02-14,228.68,
2025-02-18,226.65,
2025-02-19,226.63,
2025-02-20,222.88,
2025-02-21,216.58,
2025-02-24,212.71,
2025-02-25,212.8,
2025-02-26,214.35,
2025-02-27,208.74,
2025-02-28,212.28,
2025-03-03,205.02,
2025-03-04,203.8,
2025-03-05,208.36,
2025-03-06,200.7,
2025-03-07,199.25,
2025-03-10,194.54,
2025-03-11,196.59,
2025-03-12,198.89,
2025-03-13,193.89,
2025-03-14,197.95,
2025-03-17,195.74,
2025-03-18,192.82,
2025-03-19,195.54,
2025-03-20,194.95,
2025-03-21,196.21,
2025-03-24,203.26,
2025-03-25,205.71,
2025-03-26,201.13,
2025-03-27,201.36,
2025-03-28,192.72,
2025-03-31,190.26,
2025-04-01,192.17,
2025-04-02,196.01,
2025-04-03,178.41,
2025-04-04,171.0,
2025-04-07,175.26,
2025-04-08,170.66,
2025-04-09,191.1,The market repriced quickly after the update; rapid price discovery can reduce uncertainty and support steadier trading.
2025-04-10,181.22,The market repriced quickly after the update; rapid price discovery can reduce uncertainty and support steadier trading.
2025-04-11,184.87,The market repriced quickly after the update; rapid price discovery can reduce uncertainty and support steadier trading.
2025-04-14,182.12,The market repriced quickly after the update; rapid price discovery can reduce uncertainty and support steadier trading.
2025-04-15,179.59,The market repriced quickly after the update; rapid price discovery can reduce uncertainty and support steadier trading.
2025-04-16,174.33,The market repriced quickly after the update; rapid price discovery can reduce uncertainty and support steadier trading.
2025-04-17,172.61,The market repriced quickly after the update; rapid price discovery can reduce uncertainty and support steadier trading.
2025-04-21,167.32,The market repriced quickly after the update; rapid price discovery can reduce uncertainty and support steadier trading.
2025-04-22,173.18,The market repriced quickly after the update; rapid price discovery can reduce uncertainty and support steadier trading.
2025-04-23,180.6,The market repriced quickly after the update; rapid price discovery can reduce uncertainty and support steadier trading.
2025-04-24,186.54,The market repriced quickly after the update; rapid price discovery can reduce uncertainty and support steadier trading.
2025-04-25,188.99,The market repriced quickly after the update; rapid price discovery can reduce uncertainty and support steadier trading.
2025-04-28,187.7,
2025-04-29,187.39,
2025-04-30,184.42,
2025-05-01,190.2,
2025-05-02,189.98,
2025-05-05,186.35,
2025-05-06,185.01,
2025-05-07,188.71,
2025-05-08,192.08,
2025-05-09,193.06,
2025-05-12,208.64,"New information was absorbed quickly, and expectations shifted in a way that supports a clearer outlook."
2025-05-13,211.37,"New information was absorbed quickly, and expectations shifted in a way that supports a clearer outlook."
2025-05-14,210.25,"New information was absorbed quickly, and expectations shifted in a way that supports a clearer outlook."
2025-05-15,205.17,"New information was absorbed quickly, and expectations shifted in a way that supports a clearer outlook."
2025-05-16,205.59,"New information was absorbed quickly, and expectations shifted in a way that supports a clearer outlook."
2025-05-19,206.16,"New information was absorbed quickly, and expectations shifted in a way that supports a clearer outlook."
2025-05-20,204.07,"New information was absorbed quickly, and expectations shifted in a way that supports a clearer outlook."
2025-05-21,201.12,"New information was absorbed quickly, and expectations shifted in a way that supports a clearer outlook."
2025-05-22,203.1,"New information was absorbed quickly, and expectations shifted in a way that supports a clearer outlook."
2025-05-23,200.99,"New information was absorbed quickly, and expectations shifted in a way that supports a clearer outlook."
2025-05-27,206.02,"New information was absorbed quickly, and expectations shifted in a way that supports a clearer outlook."
2025-05-28,204.72,"New information was absorbed quickly, and expectations shifted in a way that supports a clearer outlook."
2025-05-29,205.7,
2025-05-30,205.01,
2025-06-02,206.65,
2025-06-03,205.71,
2025-06-04,207.23,
2025-06-05,207.91,
2025-06-06,213.57,
2025-06-09,216.98,
2025-06-10,217.61,
2025-06-11,213.2,
2025-06-12,213.24,
2025-06-13,212.1,
2025-06-16,216.1,
2025-06-17,214.82,
2025-06-18,212.52,
2025-06-20,209.69,
2025-06-23,208.47,
2025-06-24,212.77,
2025-06-25,211.99,
2025-06-26,217.12,
2025-06-27,223.3,
2025-06-30,219.39,
2025-07-01,220.46,
2025-07-02,219.92,
2025-07-03,223.41,
2025-07-07,223.47,
2025-07-08,219.36,
2025-07-09,222.54,
2025-07-10,222.26,
2025-07-11,225.02,
2025-07-14,225.69,
2025-07-15,226.35,
2025-07-16,223.19,
2025-07-17,223.88,
2025-07-18,226.13,
2025-07-21,229.3,
2025-07-22,227.47,
2025-07-23,228.29,
2025-07-24,232.23,
2025-07-25,231.44,
2025-07-28,232.79,
2025-07-29,231.01,
2025-07-30,230.19,
2025-07-31,234.11,
2025-08-01,214.75,"The update shifted expectations, strengthening sentiment about the near-term path."
2025-08-04,211.65,"The update shifted expectations, strengthening sentiment about the near-term path."
2025-08-05,213.75,"The update shifted expectations, strengthening sentiment about the near-term path."
2025-08-06,222.31,"The update shifted expectations, strengthening sentiment about the near-term path."
2025-08-07,223.13,"The update shifted expectations, strengthening sentiment about the near-term path."
2025-08-08,222.69,"The update shifted expectations, strengthening sentiment about the near-term path."
2025-08-11,221.3,"The update shifted expectations, strengthening sentiment about the near-term path."
2025-08-12,221.47,"The update shifted expectations, strengthening sentiment about the near-term path."
2025-08-13,224.56,"The update shifted expectations, strengthening sentiment about the near-term path."
2025-08-14,230.98,"The update shifted expectations, strengthening sentiment about the near-term path."
2025-08-15,231.03,"The update shifted expectations, strengthening sentiment about the near-term path."
2025-08-18,231.49,"The update shifted expectations, strengthening sentiment about the near-term path."
2025-08-19,228.01,
2025-08-20,223.81,
2025-08-21,221.95,
2025-08-22,228.84,
2025-08-25,227.94,
2025-08-26,228.71,
2025-08-27,229.12,
2025-08-28,231.6,
2025-08-29,229.0,
2025-09-02,225.34,
2025-09-03,225.99,
2025-09-04,235.68,
2025-09-05,232.33,
2025-09-08,235.84,
2025-09-09,238.24,
2025-09-10,230.33,
2025-09-11,229.95,
2025-09-12,228.15,
2025-09-15,231.43,
2025-09-16,234.05,
2025-09-17,231.62,
2025-09-18,231.23,
2025-09-19,231.48,
2025-09-22,227.63,
2025-09-23,220.71,
2025-09-24,220.21,
2025-09-25,218.15,
2025-09-26,219.78,
2025-09-29,222.17,
2025-09-30,219.57,
2025-10-01,220.63,
2025-10-02,222.41,
2025-10-03,219.51,
2025-10-06,220.9,
2025-10-07,221.78,
2025-10-08,225.22,
2025-10-09,227.74,
2025-10-10,216.37,
2025-10-13,220.07,
2025-10-14,216.39,
2025-10-15,215.57,
