date,price,news
2024-12-03,399.26,
2024-12-04,399.51,
2024-12-05,394.98,
2024-12-06,395.03,
2024-12-09,399.26,
2024-12-10,388.39,
2024-12-11,388.87,
2024-12-12,380.78,
2024-12-13,380.51,
2024-12-16,378.92,
2024-12-17,375.8,
2024-12-18,363.89,
2024-12-19,360.37,
2024-12-20,366.04,
2024-12-23,365.39,
2024-12-24,367.57,
2024-12-26,367.12,
2024-12-27,364.86,
2024-12-30,363.01,
2024-12-31,362.76,
2025-01-02,359.77,
2025-01-03,363.79,
2025-01-06,364.2,
2025-01-07,363.0,
2025-01-08,361.07,
2025-01-10,351.0,
2025-01-13,362.5,
2025-01-14,371.57,
2025-01-15,374.89,
2025-01-16,380.55,
2025-01-17,386.02,
2025-01-21,398.36,
2025-01-22,397.61,
2025-01-23,406.4,
2025-01-24,407.63,
2025-01-27,394.98,
2025-01-28,390.29,
2025-01-29,393.23,
2025-01-30,374.98,
2025-01-31,371.44,
2025-02-03,361.55,
2025-02-04,361.95,
2025-02-05,358.85,
2025-02-06,365.45,
2025-02-07,363.88,
2025-02-10,363.22,
2025-02-11,362.23,
2025-02-12,352.04,
2025-02-13,353.7,
2025-02-14,353.32,
2025-02-18,354.0,
2025-02-19,353.0,
2025-02-20,349.15,
2025-02-21,340.04,
2025-02-24,338.92,
2025-02-25,342.36,
2025-02-26,342.58,
2025-02-27,340.0,
2025-02-28,343.95,
2025-03-03,332.04,
2025-03-04,326.75,
2025-03-05,338.49,
2025-03-06,341.01,
2025-03-07,350.3,
2025-03-10,345.21,
2025-03-11,339.77,
2025-03-12,338.13,
2025-03-13,333.31,
2025-03-14,339.64,
2025-03-17,342.64,
2025-03-18,336.71,
2025-03-19,338.62,
2025-03-20,336.25,
2025-03-21,335.78,
2025-03-24,341.67,
2025-03-25,342.62,
2025-03-26,341.11,
2025-03-27,339.3,
2025-03-28,329.69,
2025-03-31,329.8,
2025-04-01,330.57,
2025-04-02,334.66,
2025-04-03,305.76,
2025-04-04,288.08,
2025-04-07,280.06,
2025-04-08,273.94,
2025-04-09,301.01,"The update shifted expectations, weakening sentiment about the near-term path."
2025-04-10,289.16,"The update shifted expectations, weakening sentiment about the near-term path."
2025-04-11,293.45,"The update shifted expectations, weakening sentiment about the near-term path."
2025-04-14,298.12,"The update shifted expectations, weakening sentiment about the near-term path."
2025-04-15,293.43,"The update shifted expectations, weakening sentiment about the near-term path."
2025-04-16,290.14,"The update shifted expectations, weakening sentiment about the near-term path."
2025-04-17,294.25,"The update shifted expectations, weakening sentiment about the near-term path."
2025-04-21,284.74,"The update shifted expectations, weakening sentiment about the near-term path."
2025-04-22,291.17,"The update shifted expectations, weakening sentiment about the near-term path."
2025-04-23,295.77,"The update shifted expectations, weakening sentiment about the near-term path."
2025-04-24,306.86,"The update shifted expectations, weakening sentiment about the near-term path."
2025-04-25,306.45,"The update shifted expectations, weakening sentiment about the near-term path."
2025-04-28,307.06,
2025-04-29,307.4,
2025-04-30,309.27,
2025-05-01,313.96,
2025-05-02,323.68,
2025-05-05,323.11,
2025-05-06,320.89,
2025-05-07,320.29,
2025-05-08,324.25,
2025-05-09,325.62,
2025-05-12,342.55,"Order flow adjusted rapidly to the new information, which can strain liquidity and worsen trading conditions."
2025-05-13,352.54,"Order flow adjusted rapidly to the new information, which can strain liquidity and worsen trading conditions."
2025-05-14,349.66,"Order flow adjusted rapidly to the new information, which can strain liquidity and worsen trading conditions."
2025-05-15,349.81,"Order flow adjusted rapidly to the new information, which can strain liquidity and worsen trading conditions."
2025-05-16,353.58,"Order flow adjusted rapidly to the new information, which can strain liquidity and worsen trading conditions."
2025-05-19,352.57,"Order flow adjusted rapidly to the new information, which can strain liquidity and worsen trading conditions."
2025-05-20,349.49,"Order flow adjusted rapidly to the new information, which can strain liquidity and worsen trading conditions."
2025-05-21,342.51,"Order flow adjusted rapidly to the new information, which can strain liquidity and worsen trading conditions."
2025-05-22,345.19,"Order flow adjusted rapidly to the new information, which can strain liquidity and worsen trading conditions."
2025-05-23,343.39,"Order flow adjusted rapidly to the new information, which can strain liquidity and worsen trading conditions."
2025-05-27,351.51,"Order flow adjusted rapidly to the new information, which can strain liquidity and worsen trading conditions."
2025-05-28,349.49,"Order flow adjusted rapidly to the new information, which can strain liquidity and worsen trading conditions."
2025-05-29,351.79,
2025-05-30,348.03,
2025-06-02,344.67,
2025-06-03,349.4,
2025-06-04,349.33,
2025-06-05,348.96,
2025-06-06,353.35,
2025-06-09,358.07,
2025-06-10,358.57,
2025-06-11,363.14,
2025-06-12,360.96,
2025-06-13,357.05,
2025-06-16,362.44,
2025-06-17,357.68,
2025-06-18,359.8,
2025-06-20,360.52,
2025-06-23,366.23,
2025-06-24,373.02,
2025-06-25,371.58,
2025-06-26,381.88,
2025-06-27,384.71,
2025-06-30,388.21,
2025-07-01,390.92,
2025-07-02,398.43,
2025-07-03,397.86,
2025-07-07,391.51,
2025-07-08,394.29,
2025-07-09,402.18,
2025-07-10,408.33,
2025-07-11,405.92,
2025-07-14,405.77,
2025-07-15,404.64,
2025-07-16,412.88,
2025-07-17,418.07,
2025-07-18,413.71,
2025-07-21,410.07,
2025-07-22,417.19,
2025-07-23,427.59,
2025-07-24,429.52,
2025-07-25,433.75,
2025-07-28,432.94,
2025-07-29,430.05,
2025-07-30,434.12,
2025-07-31,438.02,
2025-08-01,428.69,
2025-08-04,433.7,
2025-08-05,434.23,
2025-08-06,427.72,
2025-08-07,417.12,
2025-08-08,416.52,
2025-08-11,408.54,
2025-08-12,412.71,
2025-08-13,413.7,
2025-08-14,417.5,
2025-08-15,407.79,
2025-08-18,412.64,
2025-08-19,416.09,
2025-08-20,420.59,
2025-08-21,417.89,
2025-08-22,435.67,
2025-08-25,432.3,
2025-08-26,431.26,
2025-08-27,432.67,
2025-08-28,434.91,
2025-08-29,419.04,
2025-09-02,416.05,
2025-09-03,415.12,
2025-09-04,420.22,
2025-09-05,423.08,
2025-09-08,422.78,
2025-09-09,418.09,
2025-09-10,422.91,
2025-09-11,431.38,
2025-09-12,431.52,
2025-09-15,435.94,
2025-09-16,440.67,
2025-09-17,450.66,
2025-09-18,466.96,
2025-09-19,466.54,
2025-09-22,472.1,
2025-09-23,471.26,
2025-09-24,469.79,
2025-09-25,463.72,
2025-09-26,465.76,
2025-09-29,471.61,
2025-09-30,477.15,
2025-10-01,480.82,
2025-10-02,490.57,
2025-10-03,497.85,
2025-10-06,495.38,
2025-10-07,486.71,
2025-10-08,502.12,
2025-10-09,500.36,
2025-10-10,491.3,
2025-10-13,504.76,
2025-10-14,527.47,
2025-10-15,534.05,
2025-10-16,540.96,
2025-10-17,527.08,
2025-10-20,531.18,
2025-10-21,524.65,
2025-10-22,513.91,
2025-10-23,520.5,
2025-10-24,522.73,
2025-10-27,527.07,
2025-10-28,524.47,
2025-10-29,585.49,"A decisive repricing can fuel overshooting, making reversals more likely."
2025-10-30,583.15,"A decisive repricing can fuel overshooting, making reversals more likely."
2025-10-31,577.26,"A decisive repricing can fuel overshooting, making reversals more likely."
