date,price,news
2024-12-03,152.36,
2024-12-04,150.47,
2024-12-05,149.52,
2024-12-06,149.31,
2024-12-09,149.6,
2024-12-10,149.23,
2024-12-11,146.64,
2024-12-12,146.24,
2024-12-13,146.62,
2024-12-16,143.85,
2024-12-17,146.41,
2024-12-18,144.75,
2024-12-19,143.58,
2024-12-20,144.47,
2024-12-23,145.27,
2024-12-24,145.85,
2024-12-26,145.58,
2024-12-27,145.05,
2024-12-30,143.34,
2024-12-31,144.62,
2025-01-02,144.02,
2025-01-03,144.19,
2025-01-06,143.66,
2025-01-07,146.23,
2025-01-08,142.27,
2025-01-10,142.06,
2025-01-13,144.47,
2025-01-14,144.75,
2025-01-15,144.97,
2025-01-16,147.77,
2025-01-17,147.03,
2025-01-21,148.15,
2025-01-22,145.27,
2025-01-23,146.64,
2025-01-24,146.82,
2025-01-27,152.89,
2025-01-28,150.38,
2025-01-29,151.15,
2025-01-30,152.87,
2025-01-31,152.15,
2025-02-03,151.87,
2025-02-04,153.49,
2025-02-05,154.69,
2025-02-06,153.51,
2025-02-07,153.12,
2025-02-10,154.24,
2025-02-11,156.13,
2025-02-12,155.26,
2025-02-13,157.25,
2025-02-14,156.15,
2025-02-18,154.99,
2025-02-19,157.89,
2025-02-20,159.68,
2025-02-21,162.3,
2025-02-24,163.74,
2025-02-25,166.09,
2025-02-26,163.08,
2025-02-27,163.73,
2025-02-28,165.02,
2025-03-03,167.28,
2025-03-04,165.42,
2025-03-05,165.12,
2025-03-06,165.83,
2025-03-07,166.69,
2025-03-10,167.7,
2025-03-11,165.86,
2025-03-12,162.85,
2025-03-13,162.99,
2025-03-14,162.81,
2025-03-17,162.84,
2025-03-18,164.25,
2025-03-19,162.99,
2025-03-20,163.02,
2025-03-21,163.63,
2025-03-24,163.29,
2025-03-25,161.02,
2025-03-26,161.72,
2025-03-27,163.13,
2025-03-28,163.71,
2025-03-31,165.84,
2025-04-01,153.25,
2025-04-02,155.36,
2025-04-03,159.82,
2025-04-04,153.24,
2025-04-07,150.62,
2025-04-08,150.0,
2025-04-09,150.97,
2025-04-10,148.69,
2025-04-11,151.73,
2025-04-14,154.36,
2025-04-15,153.62,
2025-04-16,153.91,
2025-04-17,157.47,
