date,price,news
2024-12-03,63.52,
2024-12-04,62.21,
2024-12-05,62.92,
2024-12-06,62.53,
2024-12-09,62.6,
2024-12-10,62.91,
2024-12-11,62.64,
2024-12-12,63.84,
2024-12-13,63.12,
2024-12-16,62.55,
2024-12-17,63.4,
2024-12-18,62.85,
2024-12-19,62.45,
2024-12-20,62.55,
2024-12-23,62.38,
2024-12-24,62.84,
2024-12-26,62.57,
2024-12-27,62.45,
2024-12-30,62.03,
2024-12-31,62.26,
2025-01-02,61.84,
2025-01-03,61.75,
2025-01-06,60.81,
2025-01-07,60.84,
2025-01-08,61.71,
2025-01-10,61.07,
2025-01-13,61.65,
2025-01-14,62.04,
2025-01-15,61.77,
2025-01-16,62.25,
2025-01-17,62.71,
2025-01-21,62.42,
2025-01-22,61.78,
2025-01-23,61.53,
2025-01-24,61.92,
2025-01-27,63.87,
2025-01-28,62.36,
2025-01-29,62.83,
2025-01-30,64.05,
2025-01-31,63.48,
2025-02-03,63.35,
2025-02-04,62.67,
2025-02-05,63.12,
2025-02-06,63.36,
2025-02-07,63.84,
2025-02-10,64.55,
2025-02-11,67.6,"A decisive repricing can fuel overshooting, making reversals more likely."
2025-02-12,68.71,"A decisive repricing can fuel overshooting, making reversals more likely."
2025-02-13,69.5,"A decisive repricing can fuel overshooting, making reversals more likely."
2025-02-14,68.87,"A decisive repricing can fuel overshooting, making reversals more likely."
2025-02-18,69.05,"A decisive repricing can fuel overshooting, making reversals more likely."
2025-02-19,70.07,"A decisive repricing can fuel overshooting, making reversals more likely."
2025-02-20,70.04,"A decisive repricing can fuel overshooting, making reversals more likely."
2025-02-21,71.35,"A decisive repricing can fuel overshooting, making reversals more likely."
2025-02-24,70.59,"A decisive repricing can fuel overshooting, making reversals more likely."
2025-02-25,71.49,"A decisive repricing can fuel overshooting, making reversals more likely."
2025-02-26,70.8,"A decisive repricing can fuel overshooting, making reversals more likely."
2025-02-27,70.87,"A decisive repricing can fuel overshooting, making reversals more likely."
2025-02-28,71.21,
2025-03-03,72.32,
2025-03-04,70.19,
2025-03-05,70.08,
2025-03-06,70.46,
2025-03-07,71.43,
2025-03-10,71.45,
2025-03-11,71.04,
2025-03-12,69.94,
2025-03-13,69.62,
2025-03-14,69.16,
2025-03-17,70.12,
2025-03-18,69.38,
2025-03-19,69.28,
2025-03-20,69.71,
2025-03-21,68.67,
2025-03-24,68.95,
2025-03-25,68.81,
2025-03-26,70.02,
2025-03-27,70.74,
2025-03-28,70.37,
2025-03-31,71.62,
2025-04-01,71.87,
2025-04-02,71.33,
2025-04-03,73.18,
2025-04-04,69.93,"A volatility spike can signal stress; when repricing is disorderly, swings can persist."
2025-04-07,68.37,"A volatility spike can signal stress; when repricing is disorderly, swings can persist."
2025-04-08,68.42,"A volatility spike can signal stress; when repricing is disorderly, swings can persist."
2025-04-09,69.95,"A volatility spike can signal stress; when repricing is disorderly, swings can persist."
2025-04-10,70.76,"A volatility spike can signal stress; when repricing is disorderly, swings can persist."
2025-04-11,71.43,"A volatility spike can signal stress; when repricing is disorderly, swings can persist."
2025-04-14,72.45,"A volatility spike can signal stress; when repricing is disorderly, swings can persist."
2025-04-15,71.86,"A volatility spike can signal stress; when repricing is disorderly, swings can persist."
2025-04-16,71.68,"A volatility spike can signal stress; when repricing is disorderly, swings can persist."
2025-04-17,73.0,"A volatility spike can signal stress; when repricing is disorderly, swings can persist."
2025-04-21,72.77,"A volatility spike can signal stress; when repricing is disorderly, swings can persist."
2025-04-22,73.9,"A volatility spike can signal stress; when repricing is disorderly, swings can persist."
2025-04-23,73.3,
2025-04-24,72.52,
2025-04-25,71.91,
2025-04-28,71.79,
2025-04-29,72.35,
2025-04-30,72.55,
2025-05-01,71.29,
2025-05-02,71.65,
2025-05-05,71.7,
2025-05-06,71.72,
2025-05-07,72.4,
2025-05-08,71.17,
2025-05-09,70.52,
2025-05-12,69.53,
2025-05-13,68.96,
2025-05-14,69.16,
2025-05-15,71.61,
2025-05-16,72.0,
2025-05-19,71.93,
2025-05-20,71.69,
2025-05-21,71.85,
2025-05-22,71.14,
2025-05-23,71.77,
2025-05-27,71.78,
2025-05-28,71.15,
2025-05-29,71.49,
2025-05-30,72.1,
2025-06-02,72.0,
2025-06-03,71.16,
2025-06-04,71.37,
2025-06-05,70.91,
2025-06-06,71.35,
2025-06-09,71.77,
2025-06-10,72.35,
2025-06-11,72.07,
2025-06-12,72.24,
2025-06-13,71.02,
2025-06-16,70.52,
2025-06-17,69.62,
2025-06-18,69.21,
2025-06-20,68.84,
2025-06-23,69.74,
2025-06-24,70.21,
2025-06-25,69.63,
2025-06-26,69.47,
2025-06-27,70.33,
2025-06-30,70.75,
2025-07-01,71.67,
2025-07-02,70.91,
2025-07-03,71.35,
2025-07-07,71.01,
2025-07-08,70.24,
2025-07-09,69.48,
2025-07-10,69.77,
2025-07-11,69.87,
2025-07-14,69.47,
2025-07-15,69.36,
2025-07-16,69.27,
2025-07-17,70.59,
2025-07-18,69.85,
2025-07-21,70.07,
2025-07-22,69.66,
2025-07-23,69.16,
2025-07-24,69.1,
2025-07-25,69.17,
2025-07-28,68.09,
2025-07-29,69.38,
2025-07-30,68.75,
2025-07-31,67.89,
2025-08-01,68.86,
2025-08-04,68.96,
