date,price,news
2024-12-03,431.2,
2024-12-04,437.42,
2024-12-05,442.62,
2024-12-06,443.57,
2024-12-09,446.02,
2024-12-10,443.33,
2024-12-11,448.99,
2024-12-12,449.56,
2024-12-13,447.27,
2024-12-16,451.59,
2024-12-17,454.46,
2024-12-18,437.39,
2024-12-19,437.03,
2024-12-20,436.6,
2024-12-23,435.25,
2024-12-24,439.33,
2024-12-26,438.11,
2024-12-27,430.53,
2024-12-30,424.83,
2024-12-31,421.5,
2025-01-02,418.58,
2025-01-03,423.35,
2025-01-06,427.85,
2025-01-07,422.37,
2025-01-08,424.56,
2025-01-10,418.95,
2025-01-13,417.19,
2025-01-14,415.67,
2025-01-15,426.31,
2025-01-16,424.58,
2025-01-17,429.03,
2025-01-21,428.5,
2025-01-22,446.2,
2025-01-23,446.71,
2025-01-24,444.06,
2025-01-27,434.56,
2025-01-28,447.2,
2025-01-29,442.33,
2025-01-30,414.99,
2025-01-31,415.06,
2025-02-03,410.92,
2025-02-04,412.37,
2025-02-05,413.29,
2025-02-06,415.82,
2025-02-07,409.75,
2025-02-10,412.22,
2025-02-11,411.44,
2025-02-12,409.04,
2025-02-13,410.54,
2025-02-14,408.43,
2025-02-18,409.64,
2025-02-19,414.77,
2025-02-20,416.13,
2025-02-21,408.21,
2025-02-24,404.0,
2025-02-25,397.9,
2025-02-26,399.73,
2025-02-27,392.53,
2025-02-28,396.99,
2025-03-03,388.49,
2025-03-04,388.61,
2025-03-05,401.02,
2025-03-06,396.89,
2025-03-07,393.31,
2025-03-10,380.16,
2025-03-11,380.45,
2025-03-12,383.27,
2025-03-13,378.77,
2025-03-14,388.56,
2025-03-17,388.7,
2025-03-18,383.52,
2025-03-19,387.82,
2025-03-20,386.84,
2025-03-21,391.26,
2025-03-24,393.08,
2025-03-25,395.16,
2025-03-26,389.97,
2025-03-27,390.58,
2025-03-28,378.8,
2025-03-31,375.39,
2025-04-01,382.19,
2025-04-02,382.14,
2025-04-03,373.11,
2025-04-04,359.84,
2025-04-07,357.86,
2025-04-08,354.56,
2025-04-09,390.49,
2025-04-10,381.35,
2025-04-11,388.45,
2025-04-14,387.81,
2025-04-15,385.73,
2025-04-16,371.61,
2025-04-17,367.78,
2025-04-21,359.12,
2025-04-22,366.82,
2025-04-23,374.39,
2025-04-24,387.3,
2025-04-25,391.85,
2025-04-28,391.16,
2025-04-29,394.04,
2025-04-30,395.26,
2025-05-01,425.4,
2025-05-02,435.28,
2025-05-05,436.17,
2025-05-06,433.31,
2025-05-07,433.35,
2025-05-08,438.17,
2025-05-09,438.73,
2025-05-12,449.26,
2025-05-13,449.14,
2025-05-14,452.94,
2025-05-15,453.13,
2025-05-16,454.27,
2025-05-19,458.87,
2025-05-20,458.17,
2025-05-21,452.57,
2025-05-22,454.86,
2025-05-23,450.18,
2025-05-27,460.69,
2025-05-28,457.36,
2025-05-29,458.68,
2025-05-30,460.36,
2025-06-02,461.97,
2025-06-03,462.97,
2025-06-04,463.87,
2025-06-05,467.68,
2025-06-06,470.38,
2025-06-09,472.75,
2025-06-10,470.92,
2025-06-11,472.62,
2025-06-12,478.87,
2025-06-13,474.96,
2025-06-16,479.14,
2025-06-17,478.04,
2025-06-18,480.24,
2025-06-20,477.4,
2025-06-23,486.0,
2025-06-24,490.11,
2025-06-25,492.27,
2025-06-26,497.45,
2025-06-27,495.94,
2025-06-30,497.41,
2025-07-01,492.05,
2025-07-02,491.09,
2025-07-03,498.84,
2025-07-07,497.72,
2025-07-08,496.62,
2025-07-09,503.51,
2025-07-10,501.48,
2025-07-11,503.32,
2025-07-14,503.02,
2025-07-15,505.82,
2025-07-16,505.62,
2025-07-17,511.7,
2025-07-18,510.05,
2025-07-21,510.06,
2025-07-22,505.27,
2025-07-23,505.87,
2025-07-24,510.88,
2025-07-25,513.71,
2025-07-28,512.5,
2025-07-29,512.57,
2025-07-30,513.24,
2025-07-31,533.5,
2025-08-01,524.11,
2025-08-04,535.64,
2025-08-05,527.75,
2025-08-06,524.94,
2025-08-07,520.84,
2025-08-08,522.04,
2025-08-11,521.77,
2025-08-12,529.24,
2025-08-13,520.58,
2025-08-14,522.48,
2025-08-15,520.17,
2025-08-18,517.1,
2025-08-19,509.77,
2025-08-20,505.72,
2025-08-21,504.24,
2025-08-22,507.23,
2025-08-25,504.26,
2025-08-26,502.04,
2025-08-27,506.74,
2025-08-28,509.64,
2025-08-29,506.69,
2025-09-02,505.12,
2025-09-03,505.35,
2025-09-04,507.97,
2025-09-05,495.0,
2025-09-08,498.2,
2025-09-09,498.41,
2025-09-10,500.37,
2025-09-11,501.01,
2025-09-12,509.9,
2025-09-15,515.36,
2025-09-16,509.04,
2025-09-17,510.02,
2025-09-18,508.45,
2025-09-19,517.93,
2025-09-22,514.45,
2025-09-23,509.23,
2025-09-24,510.15,
2025-09-25,507.03,
2025-09-26,511.46,
2025-09-29,514.6,
2025-09-30,517.95,
2025-10-01,519.71,
2025-10-02,515.74,
2025-10-03,517.35,
2025-10-06,528.57,
2025-10-07,523.98,
2025-10-08,524.85,
2025-10-09,522.4,
2025-10-10,510.96,
2025-10-13,514.05,
2025-10-14,513.57,
2025-10-15,513.43,
2025-10-16,511.61,
2025-10-17,513.58,
2025-10-20,516.79,
2025-10-21,517.66,
2025-10-22,520.54,
2025-10-23,520.56,
2025-10-24,523.61,
2025-10-27,531.52,
2025-10-28,542.07,
2025-10-29,541.55,
2025-10-30,525.76,
2025-10-31,517.81,
2025-11-03,517.03,
2025-11-04,514.33,
2025-11-05,507.16,
2025-11-06,497.1,
2025-11-07,496.82,
2025-11-10,506.0,
2025-11-11,508.68,
2025-11-12,511.14,
2025-11-13,503.29,
2025-11-14,510.18,
2025-11-17,507.49,
2025-11-18,493.79,
2025-11-19,487.12,
2025-11-20,478.43,
2025-11-21,472.12,
2025-11-24,474.0,
2025-11-25,476.99,
2025-11-26,485.5,
2025-11-28,492.01,
2025-12-01,486.74,
2025-12-02,491.53,
