date,price,news
2024-12-03,605.23,
2024-12-04,610.79,
2024-12-05,578.97,
2024-12-06,549.62,
2024-12-09,560.62,
2024-12-10,565.19,
2024-12-11,533.53,
2024-12-12,515.76,
2024-12-13,520.48,
2024-12-16,498.5,
2024-12-17,485.52,
2024-12-18,499.72,
2024-12-19,489.25,
2024-12-20,500.13,
2024-12-23,506.34,
2024-12-24,506.1,
2024-12-26,511.15,
2024-12-27,509.99,
2024-12-30,507.8,
2024-12-31,505.86,
2025-01-02,504.51,
2025-01-03,513.0,
2025-01-06,513.67,
2025-01-07,514.25,
2025-01-08,524.52,
2025-01-10,520.69,
2025-01-13,541.14,
2025-01-14,543.74,
2025-01-15,543.42,
2025-01-16,510.59,
2025-01-17,509.76,
2025-01-21,524.99,
2025-01-22,519.72,
2025-01-23,529.77,
2025-01-24,532.51,
2025-01-27,543.52,
2025-01-28,542.48,
2025-01-29,538.1,
2025-01-30,545.57,
2025-01-31,542.49,
2025-02-03,548.18,
2025-02-04,545.45,
2025-02-05,539.81,
2025-02-06,530.04,
2025-02-07,527.03,
2025-02-10,533.37,
2025-02-11,533.92,
2025-02-12,527.4,
2025-02-13,531.18,
2025-02-14,523.51,
2025-02-18,500.73,
2025-02-19,511.04,
2025-02-20,502.42,
2025-02-21,466.42,
2025-02-24,461.52,
2025-02-25,470.38,
2025-02-26,463.59,
2025-02-27,468.56,
2025-02-28,474.96,
2025-03-03,467.05,
2025-03-04,474.61,
2025-03-05,475.98,
2025-03-06,487.72,
2025-03-07,493.48,
2025-03-10,480.22,
2025-03-11,486.04,
2025-03-12,481.11,
2025-03-13,481.52,
2025-03-14,488.65,
2025-03-17,499.02,
2025-03-18,503.8,
2025-03-19,503.2,
2025-03-20,511.3,
2025-03-21,516.85,
2025-03-24,516.5,
2025-03-25,513.43,
2025-03-26,518.2,
2025-03-27,515.72,
2025-03-28,516.04,
2025-03-31,523.75,
2025-04-01,523.12,
2025-04-02,523.2,
2025-04-03,540.44,
2025-04-04,525.05,
2025-04-07,524.7,
2025-04-08,553.08,
2025-04-09,578.5,
2025-04-10,594.4,
2025-04-11,599.47,
2025-04-14,587.06,
2025-04-15,583.59,
2025-04-16,585.04,
2025-04-17,454.11,"Today’s move may reflect a reset toward fair value, which can support a more consistent trend."
2025-04-21,425.33,"Today’s move may reflect a reset toward fair value, which can support a more consistent trend."
2025-04-22,427.18,"Today’s move may reflect a reset toward fair value, which can support a more consistent trend."
2025-04-23,427.96,"Today’s move may reflect a reset toward fair value, which can support a more consistent trend."
2025-04-24,424.25,"Today’s move may reflect a reset toward fair value, which can support a more consistent trend."
2025-04-25,418.64,"Today’s move may reflect a reset toward fair value, which can support a more consistent trend."
2025-04-28,420.0,"Today’s move may reflect a reset toward fair value, which can support a more consistent trend."
2025-04-29,409.23,"Today’s move may reflect a reset toward fair value, which can support a more consistent trend."
2025-04-30,411.44,"Today’s move may reflect a reset toward fair value, which can support a more consistent trend."
2025-05-01,400.68,"Today’s move may reflect a reset toward fair value, which can support a more consistent trend."
2025-05-02,399.92,"Today’s move may reflect a reset toward fair value, which can support a more consistent trend."
2025-05-05,404.81,"Today’s move may reflect a reset toward fair value, which can support a more consistent trend."
2025-05-06,394.51,
2025-05-07,391.06,
2025-05-08,385.55,
2025-05-09,380.64,
2025-05-12,378.75,
2025-05-13,311.38,
2025-05-14,308.01,
2025-05-15,274.35,
2025-05-16,291.91,
2025-05-19,315.89,
2025-05-20,321.58,
2025-05-21,302.98,
2025-05-22,296.67,
2025-05-23,295.57,
2025-05-27,295.0,
2025-05-28,298.11,
2025-05-29,298.17,
2025-05-30,301.91,
2025-06-02,304.72,
2025-06-03,301.22,
2025-06-04,300.38,
2025-06-05,295.84,
2025-06-06,303.22,
2025-06-09,303.19,
2025-06-10,303.79,
2025-06-11,310.56,
2025-06-12,318.5,
2025-06-13,313.53,
2025-06-16,307.66,
2025-06-17,308.87,
2025-06-18,307.2,
2025-06-20,302.01,
2025-06-23,300.68,
2025-06-24,305.62,
2025-06-25,302.02,
2025-06-26,302.62,
2025-06-27,309.11,
2025-06-30,311.97,
2025-07-01,326.14,
2025-07-02,307.56,
2025-07-03,308.55,
2025-07-07,303.71,
2025-07-08,307.7,
2025-07-09,302.91,
2025-07-10,299.51,
2025-07-11,304.1,
2025-07-14,300.58,
2025-07-15,291.71,
2025-07-16,292.49,
2025-07-17,288.07,
2025-07-18,282.65,
