date,price,news
2024-12-03,117.67,
2024-12-04,114.28,
2024-12-05,114.78,
2024-12-06,113.57,
2024-12-09,112.9,
2024-12-10,112.67,
2024-12-11,111.92,
2024-12-12,111.82,
2024-12-13,110.84,
2024-12-16,108.47,
2024-12-17,108.01,
2024-12-18,106.42,
2024-12-19,105.51,
2024-12-20,105.87,
2024-12-23,106.3,
2024-12-24,106.4,
2024-12-26,106.49,
2024-12-27,106.48,
2024-12-30,105.76,
2024-12-31,107.57,
2025-01-02,107.31,
2025-01-03,107.86,
2025-01-06,107.74,
2025-01-07,108.75,
2025-01-08,106.93,
2025-01-10,106.54,
2025-01-13,109.29,
2025-01-14,109.72,
2025-01-15,111.51,
2025-01-16,111.32,
2025-01-17,112.32,
2025-01-21,111.47,
2025-01-22,109.53,
2025-01-23,110.15,
2025-01-24,108.66,
2025-01-27,110.17,
2025-01-28,108.04,
2025-01-29,108.67,
2025-01-30,109.57,
2025-01-31,106.83,
2025-02-03,107.09,
2025-02-04,109.96,
2025-02-05,109.88,
2025-02-06,108.43,
2025-02-07,108.89,
2025-02-10,110.97,
2025-02-11,111.67,
2025-02-12,107.35,"A sharp information shock triggered fast repricing, but quicker adjustments can reduce uncertainty and stabilize the trend."
2025-02-13,108.13,"A sharp information shock triggered fast repricing, but quicker adjustments can reduce uncertainty and stabilize the trend."
2025-02-14,108.24,"A sharp information shock triggered fast repricing, but quicker adjustments can reduce uncertainty and stabilize the trend."
2025-02-18,110.14,"A sharp information shock triggered fast repricing, but quicker adjustments can reduce uncertainty and stabilize the trend."
2025-02-19,110.3,"A sharp information shock triggered fast repricing, but quicker adjustments can reduce uncertainty and stabilize the trend."
2025-02-20,112.0,"A sharp information shock triggered fast repricing, but quicker adjustments can reduce uncertainty and stabilize the trend."
2025-02-21,110.69,"A sharp information shock triggered fast repricing, but quicker adjustments can reduce uncertainty and stabilize the trend."
2025-02-24,111.27,"A sharp information shock triggered fast repricing, but quicker adjustments can reduce uncertainty and stabilize the trend."
2025-02-25,109.73,"A sharp information shock triggered fast repricing, but quicker adjustments can reduce uncertainty and stabilize the trend."
2025-02-26,109.46,"A sharp information shock triggered fast repricing, but quicker adjustments can reduce uncertainty and stabilize the trend."
2025-02-27,110.15,"A sharp information shock triggered fast repricing, but quicker adjustments can reduce uncertainty and stabilize the trend."
2025-02-28,111.33,"A sharp information shock triggered fast repricing, but quicker adjustments can reduce uncertainty and stabilize the trend."
2025-03-03,107.76,
2025-03-04,107.54,
2025-03-05,105.44,
2025-03-06,107.62,
2025-03-07,109.02,
2025-03-10,111.8,
2025-03-11,109.16,
2025-03-12,109.13,
2025-03-13,108.67,
2025-03-14,111.9,
2025-03-17,113.76,
2025-03-18,113.64,
2025-03-19,115.41,
2025-03-20,115.9,
2025-03-21,115.5,
2025-03-24,115.8,
2025-03-25,116.59,
2025-03-26,118.27,
2025-03-27,117.89,
2025-03-28,117.73,
2025-03-31,118.93,
2025-04-01,119.04,
2025-04-02,118.67,
2025-04-03,112.43,
2025-04-04,104.34,"Investors digested fresh information, and the shift in expectations supported confidence in the new direction."
2025-04-07,102.94,"Investors digested fresh information, and the shift in expectations supported confidence in the new direction."
2025-04-08,100.77,"Investors digested fresh information, and the shift in expectations supported confidence in the new direction."
2025-04-09,105.8,"Investors digested fresh information, and the shift in expectations supported confidence in the new direction."
2025-04-10,99.93,"Investors digested fresh information, and the shift in expectations supported confidence in the new direction."
2025-04-11,103.14,"Investors digested fresh information, and the shift in expectations supported confidence in the new direction."
2025-04-14,103.39,"Investors digested fresh information, and the shift in expectations supported confidence in the new direction."
2025-04-15,103.1,"Investors digested fresh information, and the shift in expectations supported confidence in the new direction."
2025-04-16,104.19,"Investors digested fresh information, and the shift in expectations supported confidence in the new direction."
2025-04-17,106.92,"Investors digested fresh information, and the shift in expectations supported confidence in the new direction."
2025-04-21,105.35,"Investors digested fresh information, and the shift in expectations supported confidence in the new direction."
2025-04-22,108.3,"Investors digested fresh information, and the shift in expectations supported confidence in the new direction."
2025-04-23,107.37,
2025-04-24,108.63,
2025-04-25,108.57,
2025-04-28,108.63,
2025-04-29,108.36,
2025-04-30,105.63,
2025-05-01,105.78,
2025-05-02,106.21,
2025-05-05,103.27,
2025-05-06,104.71,
2025-05-07,104.61,
2025-05-08,106.07,
2025-05-09,107.31,
2025-05-12,109.16,
2025-05-13,109.46,
2025-05-14,108.48,
2025-05-15,108.58,
2025-05-16,108.19,
2025-05-19,106.47,
2025-05-20,104.95,
2025-05-21,103.66,
2025-05-22,102.97,
2025-05-23,103.03,
2025-05-27,103.52,
2025-05-28,102.11,
2025-05-29,102.69,
2025-05-30,102.3,
2025-06-02,103.05,
2025-06-03,103.8,
2025-06-04,102.3,
2025-06-05,101.83,
2025-06-06,104.27,
2025-06-09,104.97,
2025-06-10,107.22,
2025-06-11,109.31,
2025-06-12,109.73,
2025-06-13,112.12,
2025-06-16,112.48,
2025-06-17,114.0,
2025-06-18,113.19,
2025-06-20,114.7,
2025-06-23,111.74,
2025-06-24,108.34,
2025-06-25,108.37,
2025-06-26,109.99,
2025-06-27,109.38,
2025-06-30,107.8,
2025-07-01,109.24,
2025-07-02,111.05,
2025-07-03,112.2,
2025-07-07,111.11,
2025-07-08,114.19,
2025-07-09,113.8,
2025-07-10,114.93,
2025-07-11,115.43,
2025-07-14,113.92,
2025-07-15,112.91,
2025-07-16,112.23,
2025-07-17,111.66,
2025-07-18,107.77,"Expectations were reset after the news, and clearer benchmarks can reinforce confidence."
2025-07-21,108.05,"Expectations were reset after the news, and clearer benchmarks can reinforce confidence."
2025-07-22,108.54,"Expectations were reset after the news, and clearer benchmarks can reinforce confidence."
2025-07-23,109.93,"Expectations were reset after the news, and clearer benchmarks can reinforce confidence."
